soil,hor,sand,silt,clay,R25,G25,B25,pH,EC,CaCO3,C,Ca,Mg,Na,depth
soil22,3,21.9,18.8,57.4,0.31,0.28,0.25,9.22,20.7,0.1,1.01,294.8,128.6,34.3,55
soil22,4,16.8,19.5,61.1,0.31,0.28,0.25,8.23,171.8,1.2,0.44,286.3,129.8,100,100
soil22,5,10,18.9,69.1,0.51,0.34,0.27,8.66,160.8,1.3,0.08,266.6,158,130.7,290
soil23,1,21.9,18.7,58,0.34,0.28,0.23,8.07,13.4,0.05,0.82,267.4,154.6,20.7,10
soil23,2,23.7,17.2,57.8,0.44,0.37,0.31,8.55,23.1,0.05,0.69,281.5,148.2,37.4,25
soil23,3,22.2,17.9,58.6,0.35,0.27,0.24,9.14,28.3,0.4,0.47,259.9,147.9,68.4,55
soil23,4,16.6,19.3,62.5,0.36,0.27,0.24,9.16,43,0.9,0.34,250.3,160.5,107.9,80
soil23,5,14.3,19.5,65,0.37,0.27,0.21,8.79,100.2,0.6,0.12,246.1,169.6,116,271
soil24,1,28.4,19.8,50.5,0.31,0.28,0.25,8.28,15.2,0.05,0.72,322.3,120.4,15.2,10
soil24,2,26.3,19.7,52.7,0.34,0.28,0.23,8.77,18,0.2,0.58,361.2,139.9,22.5,25
soil24,3,27.4,18.1,53.1,0.34,0.28,0.23,9.05,21,0.4,0.56,304.7,144,43.5,55
soil24,4,28,18.2,52.5,0.35,0.27,0.24,9.29,30.4,0.5,0.41,216.1,147.8,81.6,100
soil24,5,24,21.4,53.2,0.35,0.27,0.19,9.03,51.7,0.8,0.23,224.5,145.4,82.1,309
soil25,1,22.8,22.4,53.4,0.44,0.37,0.31,8.39,10.4,0.1,0.76,265.9,119.9,23.4,5
soil25,2,20.25,22.7,55.75,0.44,0.37,0.31,8.5,9.7,0.1,0.7,273.15,121.25,26.8,10
soil25,3,17.7,23,58.1,0.45,0.36,0.33,8.6,9,0.1,0.63,280.4,122.6,30.2,25
soil25,4,18.2,23.2,57.3,0.45,0.36,0.33,9.32,21.2,0.5,0.43,258,126.2,67.1,40
soil25,5,17.25,23.6,57.55,0.46,0.36,0.27,8.71,106.6,0.5,0.41,234.2,129.15,85.05,70
soil25,6,16.3,24,57.8,0.49,0.35,0.25,8.09,192,0.5,0.38,210.4,132.1,103,80
soil25,7,21.9,21.9,54.6,0.49,0.35,0.25,8.72,100.7,1.1,0.06,195.7,133.8,88.2,267
soil26,1,25.6,17.2,55.2,0.44,0.37,0.31,8.31,13.1,0.1,1.06,212.3,83.4,16.1,6
soil26,2,24.2,16.2,58.1,0.34,0.28,0.23,9.08,14.7,0.4,0.63,254.2,103.8,36.8,25
soil26,3,23.9,16.7,57,0.45,0.36,0.33,9.29,22.9,1.4,0.51,265,146.4,66.4,55
soil26,4,17.1,15.6,64.1,0.45,0.36,0.33,8.06,237,1.7,0.38,216.6,148.9,113.1,100
soil26,5,12.1,14.5,72,0.55,0.46,0.42,8.71,107.2,0.8,0.11,219.7,204.6,133.1,130
soil27,1,34.6,18.8,44.3,0.44,0.37,0.31,7.56,14.9,0.05,1.33,187.2,90,13.9,10
soil27,2,31.8,21,45.6,0.35,0.27,0.24,8.32,8.1,0.05,0.9,229.2,102.3,25.3,25
