Pedon,hzID,top,bottom,thickness,name,hue,value,chroma,sand,silt,clay,pH,C,N,BD,Sr87_Sr86,Al_ppm,Ca_ppm,Fe_ppm,K_ppm,Mg_ppm,Na_ppm,Ti_ppm,Zr_ppm,epsilon_Ti,tau_ca,tau_Na,tau_K,tau_Al,tau_Fe,tau_Mg,tau_P,tau_C
IU1,145,60,100,40,C2,10YR,3,6,0.735390947,0.113168724,0.151440329,4.75,0.7,0.09,1.552,0.7147,48020,5916,44840,9332,14460,392.2,5407,12.9,,,,,,,,,
IU2,146,0,8,8,A,10YR,3,2,0.420720721,0.247747748,0.331531532,4.4,7.12,0.71,1.077,,36280,6863,32570,5917,11230,394.3,4153,1.3,0.625,0.18,0.04,0.06,-0.02,-0.01,0.04,0.07,0.73
IU2,147,8,32,24,Bw,10YR,3,4,0.43647541,0.269262295,0.294262295,4.61,2.12,0.51,1.347,,45550,5046,39660,5025,12160,384.8,5042,12.4,0.07,0.03,-0.06,-0.1,-0.05,-0.01,0.02,-0.19,-0.03
IU2,148,32,100,68,C,10YR,3,4,0.536609337,0.184275184,0.279115479,4.85,2.31,0.13,1.379,,50540,5101,42020,6036,12380,439.4,5270,11.5,,,,,,,,,
IU3,149,0,8,8,A,10YR,2,2,0.587906977,0.023255814,0.388837209,5.03,23.33,1.56,0.661,,24820,13470,21280,5444,9365,250.4,2572,14.6,3.967,0.38,0.02,0.07,0.02,0.01,0.05,0.26,6.29
IU3,150,8,38,30,Bw,10YR,3,3,0.509202454,0.224948875,0.265848671,4.06,2.03,0.92,1.384,,47090,6177,43980,6759,13340,396.9,6401,13.4,-0.046,-0.1,-0.12,-0.08,-0.06,-0.04,-0.08,-0.01,0.4
IU3,151,38,68,30,BC,10YR,4,4,0.667661692,0.174129353,0.158208955,4.95,0.96,0.07,1.466,,46850,6693,44060,7111,13800,419,5900,8.7,-0.023,-0.04,-0.08,-0.03,-0.03,0,-0.03,0.07,-0.01
IU3,152,68,120,52,C,10YR,4,6,0.611344538,0.192016807,0.196638655,5.03,0.93,0.03,1.514,,47300,6967,41500,7266,13950,478.5,5583,11.4,,,,,,,,,
IU4,153,0,8,8,A,10YR,3,2,0.503722084,0.313647643,0.182630273,4.9,4.53,0.03,0.826,,29390,8485,23800,5421,9676,303.4,2895,14.7,1.888,0.07,0.01,0.01,0.01,0,0.01,0.06,11.72
IU4,154,8,45,37,EB,10YR,5,3,0.435918367,0.319183673,0.244897959,4.94,4.33,1.63,1.43,,38920,5666,35390,6052,11840,452.2,4847,17.6,-0.004,-0.12,0.01,-0.1,-0.07,-0.06,-0.07,-0.07,10.58
IU4,155,45,88,43,BC,10YR,3,4,0.642126789,0.112474438,0.245398773,5.15,0.86,0.51,1.572,,43660,7138,41330,6682,12640,385.9,4339,15.9,0.012,0.01,-0.01,-0.03,0.03,0.06,0,0.13,0.37
IU4,156,88,120,32,C,10YR,3,4,0.731707317,0.113170732,0.155121951,5.57,0.49,0.06,1.593,,41330,7056,36600,7105,12690,396.8,4335,12.5,,,,,,,,,
